Oct 11 2014 18:00:00,Stockport Falcons I,85,66,Cheshire Wire II,Stockport Sport for all Centre
Nov 1 2014 14:00:00,Cheshire Wire II,29,102,Prestons College,Priestley College
Nov 8 2014 14:15:00,Oldham Titans,62,47,Cheshire Wire II,Oldham Sixth Form College
Nov 16 2014 16:00:00,Cheshire Wire II,91,70,Bury Blue Devils,Hawthorns Sports Centre
Dec 6 2014 14:00:00,Cheshire Wire II,64,66,Liverpool,Priestley College
Dec 14 2014 14:15:00,Myerscough College,74,64,Cheshire Wire II,Myerscough College
Jan 10 2015 14:00:00,Cheshire Wire II,63,38,Preston Pride I,Priestley College
Jan 17 2015 14:40:00,Cheshire Wire II,55,84,Stockport Falcons I,Warrington Sport For All Centre
