Oldham Titans,5,1,0,0.833,398,245,153,16
Cheshire Wire II,5,1,0,0.833,481,367,114,16
Childwall Academy,4,1,0,0.8,390,304,86,13
Manchester Magic II,2,5,0,0.286,402,395,7,11
Bury Blue Devils,2,4,0,0.333,298,395,-97,10
Sefton Stars,0,6,0,0,222,485,-263,6
